train_loss,epoch,step,test_loss,test_accuracy
100.0,0,49,,
100.0,0,99,,
100.0,0,149,,
0.0,0,199,,
0.0,0,249,,
0.0,0,299,,
0.0,0,349,,
100.0,0,399,,
0.0,0,449,,
0.0,0,499,,
100.0,0,549,,
0.0,0,599,,
100.0,0,649,,
0.0,0,699,,
0.0,0,749,,
0.0,0,799,,
0.0,0,849,,
0.0,0,899,,
0.0,0,949,,
0.0,0,999,,
100.0,0,1049,,
0.0,0,1099,,
100.0,0,1149,,
100.0,0,1199,,
0.0,0,1249,,
100.0,0,1299,,
0.0,0,1349,,
0.0,0,1399,,
0.0,0,1449,,
0.0,0,1499,,
0.0,0,1549,,
0.0,0,1599,,
0.0,0,1649,,
0.0,0,1699,,
100.0,0,1749,,
0.0,0,1799,,
100.0,0,1849,,
0.0,0,1899,,
100.0,0,1949,,
0.0,0,1999,,
0.0,0,2049,,
0.0,0,2099,,
0.0,0,2149,,
0.0,0,2199,,
0.0,0,2249,,
0.0,0,2299,,
0.0,0,2349,,
0.0,0,2399,,
100.0,0,2449,,
100.0,0,2499,,
100.0,0,2549,,
100.0,0,2599,,
0.0,0,2649,,
0.0,0,2699,,
0.0,0,2749,,
0.0,0,2799,,
0.0,0,2849,,
100.0,0,2899,,
0.0,0,2949,,
0.0,0,2999,,
0.0,0,3049,,
0.0,0,3099,,
0.0,0,3149,,
100.0,0,3199,,
0.0,0,3249,,
0.0,0,3299,,
0.0,0,3349,,
100.0,0,3399,,
0.0,0,3449,,
100.0,0,3499,,
0.0,0,3549,,
0.0,0,3599,,
0.0,0,3649,,
0.0,0,3699,,
0.0,0,3749,,
0.0,0,3799,,
0.0,0,3849,,
0.0,0,3899,,
0.0,0,3949,,
-0.0,0,3999,,
0.0,0,4049,,
0.0,0,4099,,
0.0,0,4149,,
0.0,0,4199,,
0.0,0,4249,,
100.0,0,4299,,
0.0,0,4349,,
100.0,0,4399,,
0.0,0,4449,,
0.0,0,4499,,
0.0024222838692367077,0,4549,,
0.0,0,4599,,
0.0,0,4649,,
0.0,0,4699,,
0.0,0,4749,,
0.0,0,4799,,
0.0,0,4849,,
0.0,0,4899,,
0.0,0,4949,,
0.0,0,4999,,
0.0,0,5049,,
100.0,0,5099,,
0.0,0,5149,,
100.0,0,5199,,
100.0,0,5249,,
0.0,0,5299,,
0.0,0,5349,,
0.0,0,5399,,
0.0,0,5449,,
0.0,0,5499,,
100.0,0,5549,,
100.0,0,5599,,
0.0,0,5649,,
100.0,0,5699,,
0.0,0,5749,,
0.0,0,5799,,
0.0,0,5849,,
100.0,0,5899,,
100.0,0,5949,,
0.0,0,5999,,
100.0,0,6049,,
-0.0,0,6099,,
0.0,0,6149,,
0.0,0,6199,,
100.0,0,6249,,
0.0,0,6299,,
0.0,0,6349,,
100.0,0,6399,,
0.0,0,6449,,
100.0,0,6499,,
0.0,0,6549,,
0.0,0,6599,,
100.0,0,6649,,
0.0,1,6699,,
0.0,1,6749,,
0.0,1,6799,,
0.0,1,6849,,
100.0,1,6899,,
0.0,1,6949,,
0.0,1,6999,,
100.0,1,7049,,
100.0,1,7099,,
0.0,1,7149,,
0.0,1,7199,,
0.0,1,7249,,
0.0,1,7299,,
100.0,1,7349,,
0.0,1,7399,,
-0.0,1,7449,,
0.0,1,7499,,
0.0,1,7549,,
100.0,1,7599,,
0.0,1,7649,,
0.0,1,7699,,
-0.0,1,7749,,
100.0,1,7799,,
0.0,1,7849,,
100.0,1,7899,,
0.0,1,7949,,
0.0,1,7999,,
0.0,1,8049,,
0.0,1,8099,,
0.0,1,8149,,
0.0,1,8199,,
0.0,1,8249,,
-0.0,1,8299,,
0.0,1,8349,,
0.0,1,8399,,
0.0,1,8449,,
0.0,1,8499,,
100.0,1,8549,,
100.0,1,8599,,
0.0,1,8649,,
0.0,1,8699,,
0.0,1,8749,,
100.0,1,8799,,
0.0,1,8849,,
0.0,1,8899,,
0.0,1,8949,,
0.0,1,8999,,
0.0,1,9049,,
0.0,1,9099,,
0.0,1,9149,,
0.0,1,9199,,
0.0,1,9249,,
100.0,1,9299,,
100.0,1,9349,,
-0.0,1,9399,,
0.0,1,9449,,
100.0,1,9499,,
0.0,1,9549,,
0.0,1,9599,,
0.0,1,9649,,
0.0,1,9699,,
0.0,1,9749,,
0.0,1,9799,,
0.0,1,9849,,
0.0,1,9899,,
0.0,1,9949,,
0.0,1,9999,,
0.0,1,10049,,
0.0,1,10099,,
0.0,1,10149,,
0.0,1,10199,,
0.0,1,10249,,
